program,example_branch_cover_pct,notes,coverup_branch_numeric,coverup_valid_numeric
ODEPDEExtra_cfl_multiphysics,100.00,ODEPDEExtra_cfl_multiphysics	100.00 | OK,100.00,1
ODEPDEExtra_conservation_balance,100.00,ODEPDEExtra_conservation_balance	100.00 | OK,100.00,1
ODEPDEExtra_elliptic_boundary_class,100.00,ODEPDEExtra_elliptic_boundary_class	100.00 | OK,100.00,1
ODEPDEExtra_heat_boundary_update,100.00,ODEPDEExtra_heat_boundary_update	100.00 | OK,100.00,1
ODEPDEExtra_poisson_residual_norm,100.00,ODEPDEExtra_poisson_residual_norm	100.00 | OK,100.00,1
ODEPDEExtra_reaction_diffusion_regime,100.00,ODEPDEExtra_reaction_diffusion_regime	100.00 | OK,100.00,1
ODEPDEExtra_runge_kutta_event,100.00,ODEPDEExtra_runge_kutta_event	100.00 | OK,100.00,1
ODEPDEExtra_wave_energy_state,54.55,ODEPDEExtra_wave_energy_state	54.55 | OK,54.55,1
PDEBench_advection_step,100.00,PDEBench_advection_step	100.00 | OK,100.00,1
PDEBench_boundary_selector,100.00,PDEBench_boundary_selector	100.00 | OK,100.00,1
PDEBench_burgers_flux,100.00,PDEBench_burgers_flux	100.00 | OK,100.00,1
PDEBench_cfl_condition,100.00,PDEBench_cfl_condition	100.00 | OK,100.00,1
PDEBench_diffusion_step,100.00,PDEBench_diffusion_step	100.00 | OK,100.00,1
PDEBench_grid_initializer,100.00,PDEBench_grid_initializer	100.00 | OK,100.00,1
PDEBench_reaction_diffusion_update,100.00,PDEBench_reaction_diffusion_update	100.00 | OK,100.00,1
PDEBench_residual_error,100.00,PDEBench_residual_error	100.00 | OK,100.00,1
PDEExtra_advection_limiter,100.00,PDEExtra_advection_limiter	100.00 | OK,100.00,1
PDEExtra_boundary_stencil,100.00,PDEExtra_boundary_stencil	100.00 | OK,100.00,1
PDEExtra_cfl_classifier,4.17,PDEExtra_cfl_classifier	4.17 | PYTEST_FAIL |  | no tests ran in 0.04s | ,4.17,1
PDEExtra_grid_refine,100.00,PDEExtra_grid_refine	100.00 | OK,100.00,1
PDEExtra_poisson_relax,100.00,PDEExtra_poisson_relax	100.00 | OK,100.00,1
PDEExtra_reaction_source,100.00,PDEExtra_reaction_source	100.00 | OK,100.00,1
